48.1100725485,-1.6801005838
48.1099770993,-1.6802681570
48.1099343588,-1.6788694763
48.1095258562,-1.6779468241
48.1099699315,-1.6779499627
48.1100726122,-1.6777349811
48.1094052142,-1.6787335525
48.1097608343,-1.6788066290
48.1099315089,-1.6796440792
48.1097579220,-1.6795318544
48.1096982954,-1.6780476033
48.1094025742,-1.6797679316
48.1096991392,-1.6779423515
48.1099361489,-1.6782275594
48.1093996843,-1.6776255417
48.1096977028,-1.6781498237
48.1098028023,-1.6782833455
48.1096670000,-1.6792240000
48.1097120000,-1.6791380000
